CounterpartyName,Trader,B_1D_7D,B_8D_1M,B_Over_1M,L_1D_7D,L_8D_1M,L_Over_1M,B_Depo,L_Depo,Buyout,Broker
星展,NA,50/d,500,1000,50/d,500,1000,1bp,1bp,20/d,周琛
星展银行,NA,50/d,500,1000,50/d,500,1000,1bp,1bp,20/d,周琛
德意志,NA,50/d,50/d,1500,50/d,50/d,1500,1.5bp,1.5bp,NA,周琛
德意志银行,NA,50/d,50/d,1500,50/d,50/d,1500,1.5bp,1.5bp,NA,周琛
DB,NA,50/d,50/d,1500,50/d,50/d,1500,1.5bp,1.5bp,NA,周琛
CITI,NA,25/d,300,700,25/d,300,700,2bp,2bp,20/d,陈容
花旗,NA,25/d,300,700,25/d,300,700,2bp,2bp,20/d,陈容
花旗银行,NA,25/d,300,700,25/d,300,700,2bp,2bp,20/d,陈容
恒生银行,NA,50/d,50/d,1500,50/d,50/d,1500,1bp,1bp,20/d,吴皓
恒生,NA,50/d,50/d,1500,50/d,50/d,1500,1bp,1bp,20/d,吴皓
长江证券,NA,50/d,500,1000,50/d,500,1000,2bp,2bp,20/d,黄山
温州银行,NA,50/d,50/d,50/d,50/d,50/d,50/d,2bp,2bp,NA,王淼
江都农商,NA,50/d,50/d,50/d,50/d,50/d,50/d,2bp,2bp,NA,蒋学钊
张家港农商,NA,50/d,50/d,50/d,50/d,50/d,50/d,2bp,2bp,NA,束云峰
玉山银行,NA,50/d,50/d,50/d,50/d,50/d,50/d,1bp,1bp,50/d,王淼
渤海证券,NA,50/d,50/d,50/d,50/d,50/d,50/d,2bp,2bp,50/d,周琛
MIZUHO,NA,1bp,1bp,1bp,1bp,1bp,1bp,2bp,2bp,NA,王淼
瑞穗,NA,1bp,1bp,1bp,1bp,1bp,1bp,2bp,2bp,NA,王淼
国君资负,NA,1bp,1bp,1bp,1bp,1bp,1bp,2bp,2bp,NA,吴皓
国君资负部,NA,1bp,1bp,1bp,1bp,1bp,1bp,2bp,2bp,NA,吴皓
国泰君安,NA,1bp,1bp,1bp,1bp,1bp,1bp,2bp,2bp,NA,吴皓
韩亚,NA,1bp,1bp,1bp,1bp,1bp,1bp,2bp,2bp,NA,周琛
韩亚银行,NA,1bp,1bp,1bp,1bp,1bp,1bp,2bp,2bp,NA,周琛
UOB,NA,2bp,2bp,2bp,2bp,2bp,2bp,2bp,2bp,20/d,王淼
大华银行,NA,2bp,2bp,2bp,2bp,2bp,2bp,2bp,2bp,20/d,王淼
大华,NA,2bp,2bp,2bp,2bp,2bp,2bp,2bp,2bp,20/d,王淼
SUMI,NA,30/d,30/d,30/d,30/d,30/d,30/d,1bp,1bp,20/d,陈容
三井住友,NA,30/d,30/d,30/d,30/d,30/d,30/d,1bp,1bp,20/d,陈容
广发银行,NA,50/d,50/d,15/d,0,0,0,0,0,NA,周琛
广发,NA,50/d,50/d,15/d,0,0,0,0,0,NA,周琛
上海银行,NA,50/d,500,1000,0,0,0,1bp,0,NA,吴皓
新韩银行,NA,50/d,500,1000,50/d,500,1000,1bp,1bp,20/d,王淼
光大银行,NA,30/d,300,500,30/d,300,500,1bp,1bp,NA,黄山
光大,NA,30/d,300,500,30/d,300,500,1bp,1bp,NA,黄山
中国信托,NA,40/d,40/d,35/d,40/d,40/d,35/d,2bp,2bp,20/d,陈容
民生银行同业部,NA,40/d,40/d,35/d,0,0,0,1bp,0,NA,黄山
厦门银行,NA,40/d,40/d,35/d,40/d,40/d,35/d,2bp,2bp,20/d,蒋学钊
福建海峡银行,NA,40/d,40/d,35/d,40/d,40/d,35/d,2bp,2bp,20/d,蒋学钊
上海农商,NA,40/d,40/d,35/d,40/d,40/d,35/d,2bp,2bp,20/d,束云峰
泉州银行,NA,40/d,40/d,35/d,40/d,40/d,35/d,2bp,2bp,40/d,蒋学钊
厦门国际银行,NA,45/d,45/d,35/d,0,0,0,2bp,0,NA,吴皓
厦门农商,NA,45/d,45/d,35/d,45/d,45/d,35/d,2bp,2bp,NA,吴皓
国泰世华,NA,40/d,40/d,35/d,40/d,40/d,35/d,2bp,2bp,40/d,陈容
平安银行,NA,50,50,1500,0,0,0,2bp,0,NA,陈容
平安,NA,50,50,1500,0,0,0,2bp,0,NA,陈容
平安资管,NA,50,50,1500,0,0,0,0,0,NA,陈容
平安银行资管,NA,50,50,1500,0,0,0,0,0,NA,陈容
招商银行,邹萌,30,30,900,0,0,0,1bp,0,NA,吴皓
招商银行,张巧栩,30,30,900,0,0,0,1bp,0,NA,吴皓
招商银行,刘雨桐,30,30,900,0,0,0,1bp,0,NA,周琛
招行,邹萌,30,30,900,0,0,0,1bp,0,NA,吴皓
招行,张巧栩,30,30,900,0,0,0,1bp,0,NA,吴皓
招行,刘雨桐,30,30,900,0,0,0,1bp,0,NA,周琛
招商,邹萌,30,30,900,0,0,0,1bp,0,NA,吴皓
招商,张巧栩,30,30,900,0,0,0,1bp,0,NA,吴皓
招商,刘雨桐,30,30,900,0,0,0,1bp,0,NA,周琛
招商证券,NA,50,50,1500,50,50,1500,0,0,NA,周琛
申万宏源北京,NA,50,50,1500,50,50,1500,0,0,NA,周琛
申万宏源上海,NA,50,50,1500,50,50,1500,0,0,NA,吴皓
富邦华一,NA,50/d,500,1000,50/d,500,1000,2bp,2bp,20/d,占楚天
友利银行,NA,50/d,500,1000,50/d,500,1000,2bp,2bp,20/d,周琛
南京银行,NA,50/d,500,1000,50/d,500,1000,2bp,2bp,20/d,黄山
富滇银行,NA,50/d,500,1000,50/d,500,1000,2bp,2bp,20/d,蒋学钊
东三菱,NA,50/d,500,1000,50/d,500,1000,2bp,2bp,20/d,王淼
锦州银行,NA,40/d,35/d,40/d,40/d,35/d,40/d,2bp,2bp,NA,吴皓
永丰银行,NA,40/d,35/d,40/d,40/d,35/d,40/d,2bp,2bp,NA,吴皓
东方证券,NA,40/d,35/d,40/d,40/d,35/d,40/d,2bp,2bp,NA,黄山
IBK,NA,50/d,50/d,50/d,0,0,0,2bp,0,NA,吴皓
韩国企业银行,NA,50/d,50/d,50/d,0,0,0,2bp,0,NA,吴皓
企业银行,NA,50/d,50/d,50/d,0,0,0,2bp,0,NA,吴皓
皖东农商,NA,50/d,50/d,50/d,50/d,50/d,50/d,NA,NA,NA,蒋学钊
苏州农商,NA,50/d,50/d,50/d,50/d,50/d,50/d,2bp,2bp,NA,吴皓
兴化农商,NA,50/d,50/d,50/d,50/d,50/d,50/d,NA,NA,NA,周琛
宁波镇海农商,NA,50/d,50/d,50/d,50/d,50/d,50/d,NA,NA,NA,王淼
温州鹿城农商,NA,50/d,50/d,50/d,50/d,50/d,50/d,NA,NA,NA,蒋学钊
赣州银行,NA,40/d,40/d,40/d,0,0,0,NA,NA,NA,吴皓
邯郸银行,NA,50/d,50/d,50/d,50/d,50/d,50/d,2bp,2bp,NA,虞顺
新加坡,NA,50/d,50/d,50/d,50/d,50/d,50/d,1bp,1bp,NA,虞顺
浙能财务,NA,50/d,50/d,50/d,50/d,50/d,50/d,NA,NA,NA,蒋学钊
江西银行,NA,45/d,45/d,45/d,45/d,45/d,45/d,NA,NA,NA,蒋学钊
青岛银行,NA,40/d,40/d,40/d,40/d,40/d,40/d,NA,NA,NA,占楚天
余姚农商,NA,40/d,40/d,40/d,40/d,40/d,40/d,NA,NA,NA,占楚天
晋江农商,NA,40/d,40/d,40/d,40/d,40/d,40/d,NA,NA,NA,占楚天
内蒙古银行,NA,50/d,50/d,50/d,50/d,50/d,50/d,NA,NA,NA,蒋学钊
浙商银行,NA,30/d,30/d,30/d,0,0,0,NA,NA,NA,占楚天
浙商,NA,30/d,30/d,30/d,0,0,0,NA,NA,NA,占楚天
SG,NA,30/d,30/d,30/d,30/d,30/d,30/d,NA,NA,NA,吴皓
法兴,NA,30/d,30/d,30/d,30/d,30/d,30/d,NA,NA,NA,吴皓
法国兴业,NA,30/d,30/d,30/d,30/d,30/d,30/d,NA,NA,NA,吴皓
中信建投证券,NA,50/d,50/d,50/d,50/d,50/d,50/d,NA,NA,NA,黄山
中信建投,NA,50/d,50/d,50/d,50/d,50/d,50/d,NA,NA,NA,黄山
江南农商,NA,40/d,40/d,40/d,40/d,40/d,40/d,NA,NA,NA,黄山
江阴农商,NA,40/d,40/d,300,40/d,40/d,300,NA,NA,NA,蒋学钊
宁波银行,NA,30/d,30/d,30/d,30/d,30/d,30/d,NA,NA,NA,虞顺
华兴银行,NA,50/d,50/d,50/d,50/d,50/d,50/d,NA,NA,NA,吴皓
NATIXIS,NA,50/d,500,1000,50/d,500,1000,2bp,2bp,30/d,吴皓
法外贸,NA,50/d,500,1000,50/d,500,1000,2bp,2bp,30/d,吴皓
盛京银行,NA,0,0,0,0,0,0,NA,NA,NA,吴皓
廊坊银行,NA,0,0,0,0,0,0,0,0,0,蒋学钊
盘谷银行,NA,40/d,40/d,35/d,40/d,40/d,35/d,2bp,2bp,20/d,吴皓
桑坦德银行,NA,40/d,40/d,40/d,40/d,40/d,40/d,1bp,1bp,NA,吴皓
桑坦德,NA,40/d,40/d,40/d,40/d,40/d,40/d,1bp,1bp,NA,吴皓
ANZ,NA,40/d,40/d,40/d,40/d,40/d,40/d,1bp,1bp,NA,陈容
澳新,NA,40/d,40/d,40/d,40/d,40/d,40/d,1bp,1bp,NA,陈容
澳新银行,NA,40/d,40/d,40/d,40/d,40/d,40/d,1bp,1bp,NA,陈容
COMMERZ,NA,40/d,40/d,40/d,40/d,40/d,40/d,1bp,1bp,NA,陈容
德商,NA,40/d,40/d,40/d,40/d,40/d,40/d,1bp,1bp,NA,陈容
德商银行,NA,40/d,40/d,40/d,40/d,40/d,40/d,1bp,1bp,NA,陈容
JP,NA,40/d,40/d,40/d,40/d,40/d,40/d,1bp,1bp,NA,周琛
国民银行,NA,40/d,40/d,40/d,40/d,40/d,40/d,1bp,1bp,NA,吴皓
WESTPAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,吴皓
马来亚,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,陈容
北欧斯安,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,陈容
介休农商,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,蒋学钊
上海农商资管,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,周琛
上海农资管,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,周琛
北京银行,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,占楚天
万联证券,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,陈容
南京证券,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,黄山
瑞银证券,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,陈容
首都银行,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,王淼
北德银行,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,王淼
CALYON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,吴皓
东方汇理,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,吴皓
澳联邦,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,吴皓
澳联邦银行,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,吴皓
BEA,NA,50/d,50/d,50/d,50/d,50/d,50/d,2bp,2bp,NA,吴皓
东亚,NA,50/d,50/d,50/d,50/d,50/d,50/d,2bp,2bp,NA,吴皓
东亚银行,NA,50/d,50/d,50/d,50/d,50/d,50/d,2bp,2bp,NA,吴皓
创兴银行深圳分行,NA,50/d,50/d,50/d,50/d,50/d,50/d,1bp,1bp,NA,吴皓
泰兴农商,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,占楚天
开泰银行,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,陈容
微众银行,NA,40/d,40/d,40/d,40/d,40/d,40/d,2bp,2bp,2bp,周琛
大摩,NA,40/d,40/d,40/d,40/d,40/d,40/d,1bp,1bp,1bp,周琛
太保资管,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,蒋学钊
蒙特利尔,NA,40/d,40/d,40/d,40/d,40/d,40/d,40/d,1bp,1bp,陈容
荷兰银行,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,陈容
合众人寿,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,吴皓
SUMITRUST,NA,40/d,40/d,40/d,40/d,40/d,40/d,1bp,1bp,0,陈容
住友信托,NA,40/d,40/d,40/d,40/d,40/d,40/d,1bp,1bp,0,陈容
BNP,NA,40/d,40/d,40/d,40/d,40/d,40/d,1bp,1bp,0,周琛
法巴,NA,40/d,40/d,40/d,40/d,40/d,40/d,1bp,1bp,0,周琛
贵阳银行资管,NA,40/d,40/d,40/d,0,0,0,1bp,1bp,NA,陈容
宁乡农商,NA,0,0,0,0,0,0,0,0,0,CC
河南台前农商,NA,0,0,0,0,0,0,0,0,0,CC
安徽巢湖农商,NA,0,0,0,0,0,0,0,0,0,CC
台山农商,NA,0,0,0,0,0,0,0,0,0,CC
辛集农商,NA,0,0,0,0,0,0,0,0,0,CC
石家庄汇融农合行,NA,0,0,0,0,0,0,0,0,0,CC
柳林农商行,NA,0,0,0,0,0,0,0,0,0,CC
柳林农商,NA,0,0,0,0,0,0,0,0,0,CC
兰陵农商,NA,0,0,0,0,0,0,0,0,0,CC
遂溪农商,NA,0,0,0,0,0,0,0,0,0,CC
东台农商行,NA,0,0,0,0,0,0,0,0,0,周琛
东台农商,NA,0,0,0,0,0,0,0,0,0,周琛
宁夏银行,NA,0,0,0,0,0,0,0,0,0,周琛
博时基金,NA,0,0,0,0,0,0,0,0,0,周琛
恒丰银行资管,NA,0,0,0,0,0,0,0,0,0,周琛
恒丰资管,NA,0,0,0,0,0,0,0,0,0,周琛
恒丰银行,NA,0,0,0,0,0,0,0,0,0,周琛
光大永明,NA,0,0,0,0,0,0,0,0,0,周琛
招商基金,NA,0,0,0,0,0,0,0,0,0,周琛
紫金农商,NA,0,0,0,0,0,0,0,0,0,周琛
紫金农,NA,0,0,0,0,0,0,0,0,0,周琛
华泰柏瑞,NA,0,0,0,0,0,0,0,0,0,周琛
华泰柏瑞基金,NA,0,0,0,0,0,0,0,0,0,周琛
唐山农商,NA,0,0,0,0,0,0,0,0,0,周琛
唐山农,NA,0,0,0,0,0,0,0,0,0,周琛
泰康资产,NA,0,0,0,0,0,0,0,0,0,周琛
济南农商行,NA,0,0,0,0,0,0,0,0,0,周琛
济南农,NA,0,0,0,0,0,0,0,0,0,周琛
济南农商,NA,0,0,0,0,0,0,0,0,0,周琛
江苏滨海农商,NA,0,0,0,0,0,0,0,0,0,周琛
江苏银行上海,NA,0,0,0,0,0,0,0,0,0,蒋学钊
江苏银行,NA,0,0,0,0,0,0,0,0,0,蒋学钊
江苏银行SH,NA,0,0,0,0,0,0,0,0,0,蒋学钊
石嘴山银行,NA,0,0,0,0,0,0,0,0,0,蒋学钊
桂林银行,NA,0,0,0,0,0,0,0,0,0,蒋学钊
诸暨农商,NA,0,0,0,0,0,0,0,0,0,蒋学钊
诸暨农,NA,0,0,0,0,0,0,0,0,0,蒋学钊
新华资产,NA,0,0,0,0,0,0,0,0,0,蒋学钊
人保资产,NA,0,0,0,0,0,0,0,0,0,蒋学钊
富国基金,NA,0,0,0,0,0,0,0,0,0,蒋学钊
中银国际证券资管,NA,0,0,0,0,0,0,0,0,0,蒋学钊
呈贡联社,NA,0,0,0,0,0,0,0,0,0,蒋学钊
成都农商,NA,0,0,0,0,0,0,0,0,0,蒋学钊
成都农,NA,0,0,0,0,0,0,0,0,0,蒋学钊
成都农商行,NA,0,0,0,0,0,0,0,0,0,蒋学钊
准格尔煤田农联社,NA,0,0,0,0,0,0,0,0,0,蒋学钊
国金基金,NA,0,0,0,0,0,0,0,0,0,蒋学钊
肥东农商,NA,0,0,0,0,0,0,0,0,0,蒋学钊
肥东农,NA,0,0,0,0,0,0,0,0,0,蒋学钊
肥东农商行,NA,0,0,0,0,0,0,0,0,0,蒋学钊
南方电网财务,NA,0,0,0,0,0,0,0,0,0,蒋学钊
华商银行,NA,0,0,0,0,0,0,0,0,0,王淼
长城基金,NA,0,0,0,0,0,0,0,0,0,王淼
甘肃银行,NA,0,0,0,0,0,0,0,0,0,王淼
浙商基金,NA,0,0,0,0,0,0,0,0,0,王淼
包头农,NA,0,0,0,0,0,0,0,0,0,王淼
包头农商,NA,0,0,0,0,0,0,0,0,0,王淼
建信基金,NA,0,0,0,0,0,0,0,0,0,王淼
兴业基金,NA,0,0,0,0,0,0,0,0,0,王淼
诺德基金,NA,0,0,0,0,0,0,0,0,0,王淼
黑龙江省联社,NA,0,0,0,0,0,0,0,0,0,王淼
东兴证券基金部,NA,0,0,0,0,0,0,0,0,0,王淼
华夏银行,NA,0,0,0,0,0,0,0,0,0,王淼
华夏,NA,0,0,0,0,0,0,0,0,0,王淼
华夏资管,NA,0,0,0,0,0,0,0,0,0,陈容
华夏银行资管,NA,0,0,0,0,0,0,0,0,0,陈容
中石化财务,NA,0,0,0,0,0,0,0,0,0,陈容
萧山农,NA,0,0,0,0,0,0,0,0,0,陈容
昆仑银行,NA,0,0,0,0,0,0,0,0,0,陈容
长江证券资管,NA,0,0,0,0,0,0,0,0,0,陈容
临安农商,NA,0,0,0,0,0,0,0,0,0,陈容
临安农,NA,0,0,0,0,0,0,0,0,0,陈容
景顺长城基金,NA,0,0,0,0,0,0,0,0,0,陈容
湘财证券,NA,0,0,0,0,0,0,0,0,0,陈容
银河基金,NA,0,0,0,0,0,0,0,0,0,陈容
景顺长城,NA,0,0,0,0,0,0,0,0,0,陈容
浦银安盛,NA,0,0,0,0,0,0,0,0,0,陈容
浦银安盛基金,NA,0,0,0,0,0,0,0,0,0,陈容
永赢基金,NA,0,0,0,0,0,0,0,0,0,陈容
平安基金,NA,0,0,0,0,0,0,0,0,0,陈容
成都银行,NA,0,0,0,0,0,0,0,0,0,陈容
广州银行,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,束云峰
北部湾银行,NA,0,0,0,0,0,0,0,0,0,束云峰
宜兴农商,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,黄山
扬州农商,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,黄山
襄阳农商,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,束云峰
百年人寿,NA,0,0,0,0,0,0,0,0,0,吴皓
湛江农,NA,0,0,0,0,0,0,0,0,0,吴皓
湛江农商,NA,0,0,0,0,0,0,0,0,0,吴皓
郑州市郊联社,NA,0,0,0,0,0,0,0,0,0,吴皓
兰州银行,NA,0,0,0,0,0,0,0,0,0,吴皓
安徽省联社,NA,0,0,0,0,0,0,0,0,0,吴皓
浙江省联社,NA,0,0,0,0,0,0,0,0,0,吴皓
易方达基金,NA,0,0,0,0,0,0,0,0,0,吴皓
易方达,NA,0,0,0,0,0,0,0,0,0,吴皓
南山财务,NA,0,0,0,0,0,0,0,0,0,吴皓
中泰证券,NA,0,0,0,0,0,0,0,0,0,蒋学钊
建行资管,NA,0,0,0,0,0,0,0,0,0,虞顺
鹏扬基金,NA,0,0,0,0,0,0,0,0,0,虞顺
交银康联人寿,NA,0,0,0,0,0,0,0,0,0,虞顺
万家基金,NA,0,0,0,0,0,0,0,0,0,虞顺
江安农商,NA,0,0,0,0,0,0,0,0,0,虞顺
江安农,NA,0,0,0,0,0,0,0,0,0,虞顺
恒大人寿,NA,0,0,0,0,0,0,0,0,0,虞顺
广州农商,NA,0,0,0,0,0,0,0,0,0,虞顺
建信信托,NA,0,0,0,0,0,0,0,0,0,虞顺
鹿泉联社,NA,0,0,0,0,0,0,0,0,0,虞顺
中加基金,NA,0,0,0,0,0,0,0,0,0,虞顺
交行资管,NA,0,0,0,0,0,0,0,0,0,虞顺
南方基金,NA,0,0,0,0,0,0,0,0,0,虞顺
芜湖扬子农商,NA,0,0,0,0,0,0,0,0,0,占楚天
芜湖扬子银行,NA,0,0,0,0,0,0,0,0,0,占楚天
芜湖扬子,NA,0,0,0,0,0,0,0,0,0,占楚天
华润银行,NA,0,0,0,0,0,0,0,0,0,占楚天
唐山银行,NA,0,0,0,0,0,0,0,0,0,占楚天
杭州联合,NA,0,0,0,0,0,0,0,0,0,占楚天
杭州联合银行,NA,0,0,0,0,0,0,0,0,0,占楚天
潍坊银行,NA,0,0,0,0,0,0,0,0,0,占楚天
义乌农商,NA,0,0,0,0,0,0,0,0,0,占楚天
承德银行,NA,0,0,0,0,0,0,0,0,0,占楚天
绵阳商行,NA,0,0,0,0,0,0,0,0,0,占楚天
银华基金,NA,0,0,0,0,0,0,0,0,0,占楚天
天津银行,NA,0,0,0,0,0,0,0,0,0,占楚天
招金财务,NA,0,0,0,0,0,0,0,0,0,吴皓
国华人寿,NA,0,0,0,0,0,0,0,0,0,黄山
光大证券,NA,0,0,0,0,0,0,0,0,0,黄山
华林证券,NA,0,0,0,0,0,0,0,0,0,黄山
中电科财务,NA,0,0,0,0,0,0,0,0,0,黄山
工银瑞信,NA,0,0,0,0,0,0,0,0,0,黄山
工银瑞信基金,NA,0,0,0,0,0,0,0,0,0,黄山
长信基金,NA,0,0,0,0,0,0,0,0,0,黄山
交银施罗德基金,NA,0,0,0,0,0,0,0,0,0,黄山
宜宾翠屏农商,NA,0,0,0,0,0,0,0,0,0,黄山
方正富邦,NA,0,0,0,0,0,0,0,0,0,黄山
方正富邦基金,NA,0,0,0,0,0,0,0,0,0,黄山
阿克苏农商,NA,0,0,0,0,0,0,0,0,0,黄山
海通证券资管,NA,0,0,0,0,0,0,0,0,0,黄山
邮储银行,NA,0,0,0,0,0,0,0,0,0,占楚天
邮储,NA,0,0,0,0,0,0,0,0,0,占楚天
国开,NA,0,0,0,0,0,0,0,0,0,王淼
农行北京,NA,0,0,0,0,0,0,0,0,0,吴皓
农行BJ,NA,0,0,0,0,0,0,0,0,0,吴皓
农行上海,NA,0,0,0,0,0,0,0,0,0,吴皓
农行SH,NA,0,0,0,0,0,0,0,0,0,吴皓
上海银行资管,NA,0,0,0,0,0,0,0,0,0,周琛
苏州银行,NA,0,0,0,0,0,0,0,0,0,王淼
中行,NA,0,0,0,0,0,0,0,0,0,周琛
中行资管,NA,0,0,0,0,0,0,0,0,0,王淼
交行,NA,0,0,0,0,0,0,0,0,0,黄山
建行,NA,0,0,0,0,0,0,0,0,0,陈容
农发,NA,0,0,0,0,0,0,0,0,0,占楚天
广东省联社,NA,0,0,0,0,0,0,0,0,0,王淼
云南省联社,NA,0,0,0,0,0,0,0,0,0,虞顺
合肥科技农商,NA,0,0,0,0,0,0,0,0,0,蒋学钊
华安基金,NA,0,0,0,0,0,0,0,0,0,蒋学钊
郑州银行,NA,0,0,0,0,0,0,0,0,0,蒋学钊
渤海银行,NA,0,0,0,0,0,0,0,0,0,蒋学钊
渤海,NA,0,0,0,0,0,0,0,0,0,蒋学钊
甘肃省联社,NA,0,0,0,0,0,0,0,0,0,蒋学钊
重庆银行,NA,0,0,0,0,0,0,0,0,0,王淼
光大银行资管,NA,0,0,0,0,0,0,0,0,0,黄山
光大资管,NA,0,0,0,0,0,0,0,0,0,黄山
杭州银行,NA,0,0,0,0,0,0,0,0,0,黄山
杭州银行资管,NA,0,0,0,0,0,0,0,0,0,周琛
杭州资管,NA,0,0,0,0,0,0,0,0,0,周琛
民生银行,NA,0,0,0,0,0,0,0,0,0,黄山
民生银行资管,NA,0,0,0,0,0,0,0,0,0,黄山
民生资管,NA,0,0,0,0,0,0,0,0,0,黄山
广发资管,NA,0,0,0,0,0,0,0,0,0,吴皓
广发银行资管,NA,0,0,0,0,0,0,0,0,0,吴皓
中信银行,NA,0,0,0,0,0,0,0,0,0,蒋学钊
中信,NA,0,0,0,0,0,0,0,0,0,蒋学钊
中信资管,NA,0,0,0,0,0,0,0,0,0,陈容
中信银行资管,NA,0,0,0,0,0,0,0,0,0,陈容
招行资管,NA,0,0,0,0,0,0,0,0,0,周琛
招商资管,NA,0,0,0,0,0,0,0,0,0,周琛
招商银行资管,NA,0,0,0,0,0,0,0,0,0,周琛
紫金农商行,NA,0,0,0,0,0,0,0,0,0,周琛
唐山农商行,NA,0,0,0,0,0,0,0,0,0,周琛
包头农商行,NA,0,0,0,0,0,0,0,0,0,王淼
湛江农商银行,NA,0,0,0,0,0,0,0,0,0,吴皓
宁波通商银行,NA,0,0,0,0,0,0,0,0,0,吴皓
长沙银行,NA,0,0,0,0,0,0,0,0,0,0
大成基金,NA,0,0,0,0,0,0,0,0,0,吴皓
华商,NA,0,0,0,0,0,0,0,0,0,王淼
建信养老,NA,0,0,0,0,0,0,0,0,0,吴皓
东港农商,NA,0,0,0,0,0,0,0,0,0,吴皓
海宁农,NA,0,0,0,0,0,0,0,0,0,陈容
兴业证券,NA,0,0,0,0,0,0,0,0,0,吴皓
菏泽农商,NA,0,0,0,0,0,0,0,0,0,虞顺
长安银行,NA,0,0,0,0,0,0,0,0,0,周琛
北京农商行,NA,0,0,0,0,0,0,0,0,0,吴皓
兴全基金,NA,0,0,0,0,0,0,0,0,0,陈容
东北证券,NA,0,0,0,0,0,0,0,0,0,虞顺
兴银基金,NA,0,0,0,0,0,0,0,0,0,陈容
葫芦岛银行,NA,0,0,0,0,0,0,0,0,0,吴皓
交银施罗德,NA,0,0,0,0,0,0,0,0,0,黄山
农行资管,NA,0,0,0,0,0,0,0,0,0,蒋学钊
海尔财务,NA,0,0,0,0,0,0,0,0,0,蒋学钊
建信投资,NA,0,0,0,0,0,0,0,0,0,虞顺
上汽财务,NA,0,0,0,0,0,0,0,0,0,王淼
天津农商,NA,0,0,0,0,0,0,0,0,0,占楚天
华泰证券上海,,0,0,0,0,0,0,0,0,0,占楚天
天府银行,NA,0,0,0,0,0,0,0,0,0,周琛
江苏滨海农商行,NA,0,0,0,0,0,0,0,0,0,周琛
